"행정구역","남_0","남_10","남_20","남_30","남_40","남_50","남_60","여_0","여_10","여_20","여_30","여_40","여_50","여_60"
"4117000000",21059,28012,41441,40627,44057,48438,53363,20270,26157,38287,38450,46146,51067,62418
"4117100000",8273,10158,18320,17902,18280,21803,26512,8008,9365,16697,16032,17621,22481,30653
"4117151000",487,585,981,1040,1013,1134,1185,505,566,961,959,1041,1081,1324
"4117152000",609,822,1725,1671,1555,1984,2527,624,733,1686,1422,1509,2031,2804
"4117153000",499,711,1328,1214,1245,1470,1953,440,644,1180,1064,1140,1648,2338
"4117154000",151,254,533,535,556,697,926,155,257,545,430,499,646,1147
"4117155000",303,481,911,866,907,1202,1663,272,434,838,718,893,1161,2090
"4117156000",565,647,1614,1856,1575,1788,2327,540,649,1417,1458,1409,1722,2616
"4117157000",899,701,1027,1392,1334,1337,1243,895,654,1044,1460,1284,1340,1424
"4117158000",263,377,919,928,830,1028,1404,257,355,760,658,705,1067,1601
"4117158100",533,675,1361,1179,1166,1606,2176,518,652,1209,1002,1166,1787,2598
"4117159000",800,859,1366,1347,1519,1643,2301,701,758,1288,1423,1568,1918,2583
"4117160000",1170,1463,2434,2250,2508,3118,3501,1124,1276,2260,2139,2396,3140,4008
"4117161000",484,751,1105,854,1092,1303,1401,515,659,894,810,1081,1304,1677
"4117162100",372,630,1151,972,1207,1639,1873,393,592,1035,766,1131,1513,2278
"4117163000",1138,1202,1865,1798,1773,1854,2032,1069,1136,1580,1723,1799,2123,2165
"4117300000",12786,17854,23121,22725,25777,26635,26851,12262,16792,21590,22418,28525,28586,31765
"4117351000",998,1188,1497,1373,1713,1882,1999,902,1105,1506,1478,1891,2087,2264
"4117352000",426,561,825,723,820,1001,1087,419,571,788,717,939,1132,1222
"4117353000",610,945,1823,1469,1417,2061,2417,583,830,1547,1301,1497,2351,2826
"4117354000",832,1212,1122,1065,1582,1365,1427,724,1096,1053,1229,1825,1397,1904
"4117354600",418,395,711,1233,874,737,820,395,370,780,1212,1022,980,1366
"4117355000",1220,1591,3236,2638,2571,3360,3781,1096,1485,2869,2375,2758,3809,4775
"4117356000",657,731,1631,1708,1520,1772,1858,640,763,1402,1381,1515,1771,2102
"4117356600",1218,1282,1808,3072,2464,1862,1642,1262,1205,1886,2918,2648,2088,2156
"4117357000",720,909,1170,889,1240,1478,1132,697,850,1077,1006,1412,1497,1228
"4117357600",1302,1965,1388,1556,2550,1723,1362,1254,1827,1244,1801,2836,1709,1719
"4117357800",822,1787,965,565,1870,1386,1008,683,1636,969,737,2219,1229,1143
"4117358000",494,389,481,811,762,617,593,497,357,495,793,679,582,622
"4117359000",766,956,1821,1713,1458,1929,2075,764,896,1740,1579,1555,2148,2370
"4117360000",850,1062,1769,1604,1627,2061,2230,831,1081,1558,1476,1710,2232,2199
"4117361000",596,1259,1007,885,1388,1243,1131,603,1113,1022,1030,1707,1285,1381
"4117362000",482,845,1047,833,998,1214,1186,502,824,931,798,1247,1266,1234
"4117363000",375,777,820,588,923,944,1103,410,783,723,587,1065,1023,1254
"4127000000",23375,34187,56302,46885,55949,65490,53065,22585,32055,49685,39325,54234,61719,59191
"4127100000",12283,18080,30554,23911,29709,35002,28510,11902,17128,26938,20322,29047,33155,32689
"4127151000",933,1285,2021,1765,2479,2452,2071,953,1320,1896,1503,2185,2210,2523
"4127151500",607,892,2362,2316,2272,2532,2142,624,827,2122,1610,1826,2080,2370
"4127152500",1007,1602,3352,2772,3061,3346,2452,993,1496,2762,1996,2802,2949,3143
"4127153200",1394,1906,2872,2261,2827,3233,2390,1334,1842,2528,2006,2857,3157,2749
"4127153700",1541,1826,2594,1935,2477,2585,1698,1592,1747,2112,2034,2661,2486,1606
"4127154000",1508,2204,3208,2612,3663,3882,2914,1378,2061,2778,2267,3466,3476,3359
